2-0.jpg,4,309,92,635,63,633,363,317,365
1-1.jpg,4,297,64,631,52,630,369,296,380
8-1.jpg,4,3,16,444,7,466,455,23,453
7-0.jpg,4,120,91,467,59,477,361,147,383
5-0.jpg,4,20,39,462,7,444,411,26,436
4-1.jpg,4,33,46,522,26,532,415,22,439
9-0.jpg,4,9,49,460,19,479,428,18,437
1-0.jpg,4,313,82,628,72,631,331,312,360
5-1.jpg,4,46,38,453,20,476,425,54,437
3-0.jpg,4,324,93,636,68,628,388,318,377
6-1.jpg,4,130,14,515,4,540,382,158,402
3-1.jpg,4,318,63,635,52,635,356,313,357
4-0.jpg,4,210,78,632,64,639,438,203,448
9-1.jpg,4,10,39,437,15,474,403,16,430
7-1.jpg,4,132,95,481,53,500,393,145,400
2-1.jpg,4,331,77,626,69,635,337,301,359
8-0.jpg,4,3,33,457,9,496,420,27,444
6-0.jpg,4,141,26,526,0,544,364,169,375
